Jahr,Baualter,Zimmeranzahl,MedianPreis,PreisProQm,Zimmeranzahl_num,Baujahr
2009,Neubauten (0–1 Jahre),1-Zimmer,375000,6818,1,
2009,2–9 Jahre,1-Zimmer,926090,17618,1,
2009,10–19 Jahre,1-Zimmer,371180,8361,1,
2009,Altbauten (umgebaut),1-Zimmer,213060,9389,1,
2009,Altbauten (nicht umgebaut),1-Zimmer,264100,8500,1,
2009,Total,1-Zimmer,265000,8552,1,
2009,Neubauten (0–1 Jahre),2-Zimmer,765000,11612,2,
2009,2–9 Jahre,2-Zimmer,1173910,12551,2,
2009,10–19 Jahre,2-Zimmer,450000,7566,2,
2009,Altbauten (umgebaut),2-Zimmer,505000,8561,2,
2009,Altbauten (nicht umgebaut),2-Zimmer,384730,7143,2,
2009,Total,2-Zimmer,505000,7800,2,
2009,Neubauten (0–1 Jahre),3-Zimmer,745000,7614,3,
2009,2–9 Jahre,3-Zimmer,1143500,10446,3,
2009,10–19 Jahre,3-Zimmer,750000,8824,3,
2009,Altbauten (umgebaut),3-Zimmer,595000,9400,3,
2009,Altbauten (nicht umgebaut),3-Zimmer,490000,6071,3,
2009,Total,3-Zimmer,698550,7389,3,
2009,Neubauten (0–1 Jahre),4-Zimmer,835000,6573,4,
2009,2–9 Jahre,4-Zimmer,925000,6132,4,
2009,10–19 Jahre,4-Zimmer,940000,8864,4,
2009,Altbauten (umgebaut),4-Zimmer,1450000,12594,4,
2009,Altbauten (nicht umgebaut),4-Zimmer,770000,7966,4,
2009,Total,4-Zimmer,855750,7577,4,
2009,Neubauten (0–1 Jahre),5-Zimmer,1316780,7085,5,
2009,2–9 Jahre,5-Zimmer,1537580,10631,5,
2009,10–19 Jahre,5-Zimmer,2763230,16293,5,
2009,Altbauten (umgebaut),5-Zimmer,1575000,10185,5,
2009,Altbauten (nicht umgebaut),5-Zimmer,1118000,8912,5,
2009,Total,5-Zimmer,1312500,9117,5,
2009,Neubauten (0–1 Jahre),6-Zimmer und mehr,1412500,5045,6,
2009,2–9 Jahre,6-Zimmer und mehr,1170000,6536,6,
2009,10–19 Jahre,6-Zimmer und mehr,4500000,28302,6,
2009,Altbauten (umgebaut),6-Zimmer und mehr,1600000,12064,6,
2009,Altbauten (nicht umgebaut),6-Zimmer und mehr,2215000,12480,6,
2009,Total,6-Zimmer und mehr,1470810,8015,6,
2010,2–9 Jahre,1-Zimmer,1300000,10153,1,
2010,10–19 Jahre,1-Zimmer,316670,11072,1,
2010,Altbauten (umgebaut),1-Zimmer,408050,12434,1,
2010,Altbauten (nicht umgebaut),1-Zimmer,270000,8491,1,
2010,Total,1-Zimmer,307500,9310,1,
2010,Neubauten (0–1 Jahre),2-Zimmer,550000,7230,2,
2010,2–9 Jahre,2-Zimmer,850000,10119,2,
2010,10–19 Jahre,2-Zimmer,370000,6607,2,
2010,Altbauten (umgebaut),2-Zimmer,824380,12450,2,
2010,Altbauten (nicht umgebaut),2-Zimmer,420000,7520,2,
2010,Total,2-Zimmer,522500,7590,2,
2010,Neubauten (0–1 Jahre),3-Zimmer,825000,7736,3,
2010,2–9 Jahre,3-Zimmer,880000,9043,3,
2010,10–19 Jahre,3-Zimmer,700000,8026,3,
2010,Altbauten (umgebaut),3-Zimmer,1063000,8823,3,
2010,Altbauten (nicht umgebaut),3-Zimmer,582500,7737,3,
