Tatsächlicher Preis (CHF),Vorhergesagter Preis (CHF)
2215000.0,1992941.9939061112
2380000.0,2254120.776327877
4837000.0,4983416.690256323
3655000.0,3482141.801301196
1385000.0,1396679.0704260273
2218500.0,2103906.044753636
0.0,14388.164346766067
1700000.0,1641688.913234439
1759000.0,1660815.0994668761
365000.0,409018.7131073624
885830.0,846059.6906634865
1310000.0,1385822.0153724456
1412500.0,1411639.0185097486
1870000.0,1821626.5687986088
2220000.0,2080923.4161435165
2550000.0,2571041.127763758
1100000.0,1090272.2209304343
1350000.0,1486790.1468372215
1700000.0,1617036.6075817125
2040000.0,2030807.7604240947
3149430.0,3049006.320276105
1075000.0,1019265.0296444937
610000.0,627583.9658096789
1975000.0,2004509.6413528547
1025000.0,1109408.2111191961
306705.0,298736.2053373846
2120000.0,2326333.193361934
2388000.0,2581523.126002917
0.0,-27658.540568382126
1867500.0,1756265.1628066106
2870000.0,2764915.261564617
3791005.0,3259505.435883768
887500.0,933901.3064281954
2970000.0,3014008.4482742953
1460000.0,3279987.115906443
3100000.0,3038002.596645821
2431000.0,2324290.76571448
547500.0,596721.4848763804
0.0,-30506.481631236533
1200000.0,1174918.4129496606
502500.0,485128.56151117827
960000.0,967640.1107682923
295000.0,235777.3670451845
3350000.0,2963667.7738294452
1690000.0,1703212.4044006688
785000.0,758519.764760188
2570000.0,2685662.835996606
1589380.0,1554579.357535246
2282500.0,2368004.274107269
3350000.0,2963667.7738294452
495000.0,503256.1742264248
570000.0,638064.7639348635
2040000.0,2030807.7604240947
2550000.0,3481781.0473137023
312840.0,275864.39444508846
2655000.0,2321757.243526475
675000.0,658121.8352862385
