Jahr,Quartier,Zimmeranzahl,MedianPreis,PreisProQm,Zimmeranzahl_num,MedianPreis_Baualter,Durchschnitt_Baujahr,Preis_Verhältnis,Quartier_Preisniveau,Quartier_Code
2024,Ganze Stadt,1-Zimmer,720000.0,15641.0,1,810500.0,0.0,0.8883405305367057,1.0307483920722538,9
2024,Ganze Stadt,2-Zimmer,1020000.0,17231.0,2,1132250.0,0.0,0.9008611172444249,1.0307483920722538,9
2024,Ganze Stadt,3-Zimmer,1383130.0,16225.0,3,1606355.0,0.0,0.8610363213610939,1.0307483920722538,9
2024,Ganze Stadt,4-Zimmer,1755000.0,16761.0,4,1976250.0,0.0,0.888045540796964,1.0307483920722538,9
2024,Ganze Stadt,5-Zimmer,2300000.0,16840.0,5,2454583.3333333335,0.0,0.9370225768120862,1.0307483920722538,9
2024,Ganze Stadt,6-Zimmer und mehr,2970000.0,16919.0,6,3038774.0,0.0,0.9773678463748867,1.0307483920722538,9
2024,Kreis 1,1-Zimmer,495000.0,17719.0,1,810500.0,0.0,0.6107341147439852,0.8928027495031213,17
2024,Kreis 1,2-Zimmer,2250000.0,40179.0,2,1132250.0,0.0,1.9871936409803488,0.8928027495031213,17
2024,Kreis 1,3-Zimmer,1470000.0,14176.0,3,1606355.0,0.0,0.9151152765111075,0.8928027495031213,17
2024,Kreis 1,4-Zimmer,1700000.0,13600.0,4,1976250.0,0.0,0.8602150537634409,0.8928027495031213,17
2024,Kreis 1,5-Zimmer,1200000.0,8889.0,5,2454583.3333333335,0.0,0.48888134442369713,0.8928027495031213,17
2024,Kreis 1,6-Zimmer und mehr,1675000.0,8957.0,6,3038774.0,0.0,0.5512091389487997,0.8928027495031213,17
2024,Rathaus,1-Zimmer,487500.0,17551.5,1,810500.0,0.0,0.6014805675508945,0.9336847866675133,35
2024,Rathaus,2-Zimmer,2250000.0,40179.0,2,1132250.0,0.0,1.9871936409803488,0.9336847866675133,35
2024,Rathaus,3-Zimmer,1470000.0,15313.0,3,1606355.0,0.0,0.9151152765111075,0.9336847866675133,35
2024,Rathaus,4-Zimmer,1650000.0,13993.0,4,1976250.0,0.0,0.8349146110056926,0.9336847866675133,35
2024,Rathaus,5-Zimmer,1660000.0,10722.0,5,2454583.3333333335,0.0,0.6762858597861143,0.9336847866675133,35
2024,Rathaus,6-Zimmer und mehr,1675000.0,8957.0,6,3038774.0,0.0,0.5512091389487997,0.9336847866675133,35
2024,Hochschulen,1-Zimmer,0.0,0.0,1,810500.0,0.0,0.0,0.24376866880631298,14
2024,Hochschulen,2-Zimmer,1200000.0,19672.0,2,1132250.0,0.0,1.0598366085228528,0.24376866880631298,14
2024,Hochschulen,3-Zimmer,0.0,0.0,3,1606355.0,0.0,0.0,0.24376866880631298,14
2024,Hochschulen,4-Zimmer,0.0,0.0,4,1976250.0,0.0,0.0,0.24376866880631298,14
2024,Hochschulen,5-Zimmer,1200000.0,8889.0,5,2454583.3333333335,0.0,0.48888134442369713,0.24376866880631298,14
2024,Hochschulen,6-Zimmer und mehr,0.0,0.0,6,3038774.0,0.0,0.0,0.24376866880631298,14
2024,Lindenhof,1-Zimmer,502500.0,12850.5,1,810500.0,0.0,0.6199876619370759,0.9266104167581969,31
2024,Lindenhof,2-Zimmer,2655000.0,40846.0,2,1132250.0,0.0,2.3448884963568117,0.9266104167581969,31
2024,Lindenhof,3-Zimmer,1800000.0,20000.0,3,1606355.0,0.0,1.1205493181768662,0.9266104167581969,31
2024,Lindenhof,4-Zimmer,1940350.0,19554.0,4,1976250.0,0.0,0.9818342820999367,0.9266104167581969,31
2024,Lindenhof,5-Zimmer,2225000.0,16985.0,5,2454583.3333333335,0.0,0.9064674927856051,0.9266104167581969,31
2024,Lindenhof,6-Zimmer und mehr,0.0,0.0,6,3038774.0,0.0,0.0,0.9266104167581969,31
2024,City,1-Zimmer,0.0,0.0,1,810500.0,0.0,0.0,0.3650141261566396,4
2024,City,2-Zimmer,0.0,0.0,2,1132250.0,0.0,0.0,0.3650141261566396,4
2024,City,3-Zimmer,1500000.0,11450.0,3,1606355.0,0.0,0.9337910984807218,0.3650141261566396,4
2024,City,4-Zimmer,1700000.0,13600.0,4,1976250.0,0.0,0.8602150537634409,0.3650141261566396,4
2024,City,5-Zimmer,393710.0,2642.0,5,2454583.3333333335,0.0,0.1603978950942115,0.3650141261566396,4
2024,City,6-Zimmer und mehr,0.0,0.0,6,3038774.0,0.0,0.0,0.3650141261566396,4
2024,Kreis 2,1-Zimmer,850000.0,19639.0,1,810500.0,0.0,1.0487353485502775,1.712289024754384,21
2024,Kreis 2,2-Zimmer,1658000.0,20823.0,2,1132250.0,0.0,1.4643409141090749,1.712289024754384,21
2024,Kreis 2,3-Zimmer,1985000.0,19755.0,3,1606355.0,0.0,1.2357168869894886,1.712289024754384,21
2024,Kreis 2,4-Zimmer,2525000.0,19733.0,4,1976250.0,0.0,1.277672359266287,1.712289024754384,21
2024,Kreis 2,5-Zimmer,2590170.0,17834.0,5,2454583.3333333335,0.0,1.0552381599049396,1.712289024754384,21
2024,Kreis 2,6-Zimmer und mehr,7250000.0,20365.0,6,3038774.0,0.0,2.385830601420178,1.712289024754384,21
2024,Wollishofen,1-Zimmer,1100000.0,15278.0,1,810500.0,0.0,1.3571869216533003,1.3203557276420204,46
2024,Wollishofen,2-Zimmer,1685000.0,20102.0,2,1132250.0,0.0,1.488187237800839,1.3203557276420204,46
2024,Wollishofen,3-Zimmer,1985000.0,19755.0,3,1606355.0,0.0,1.2357168869894886,1.3203557276420204,46
2024,Wollishofen,4-Zimmer,2550000.0,19770.0,4,1976250.0,0.0,1.2903225806451613,1.3203557276420204,46
2024,Wollishofen,5-Zimmer,3149430.0,20134.0,5,2454583.3333333335,0.0,1.2830813104736036,1.3203557276420204,46
2024,Wollishofen,6-Zimmer und mehr,2530000.0,13204.0,6,3038774.0,0.0,0.8325726098749034,1.3203557276420204,46
2024,Leimbach,1-Zimmer,0.0,0.0,1,810500.0,0.0,0.0,0.5063877656308609,30
2024,Leimbach,2-Zimmer,635590.0,9057.0,2,1132250.0,0.0,0.5613512916758666,0.5063877656308609,30
2024,Leimbach,3-Zimmer,950000.0,11552.0,3,1606355.0,0.0,0.5914010290377906,0.5063877656308609,30
2024,Leimbach,4-Zimmer,950000.0,9460.0,4,1976250.0,0.0,0.48070841239721696,0.5063877656308609,30
2024,Leimbach,5-Zimmer,1240000.0,9920.0,5,2454583.3333333335,0.0,0.5051773892378204,0.5063877656308609,30
2024,Leimbach,6-Zimmer und mehr,1210000.0,7129.5,6,3038774.0,0.0,0.39818690037495386,0.5063877656308609,30
2024,Enge,1-Zimmer,600000.0,24000.0,1,810500.0,0.0,0.7402837754472548,1.6970362160066155,5
2024,Enge,2-Zimmer,1658000.0,21204.0,2,1132250.0,0.0,1.4643409141090749,1.6970362160066155,5
2024,Enge,3-Zimmer,2550000.0,26020.0,3,1606355.0,0.0,1.5874448674172272,1.6970362160066155,5
2024,Enge,4-Zimmer,2550000.0,21074.0,4,1976250.0,0.0,1.2903225806451613,1.6970362160066155,5
2024,Enge,5-Zimmer,2100000.0,16031.0,5,2454583.3333333335,0.0,0.85554235274147,1.6970362160066155,5
2024,Enge,6-Zimmer und mehr,7250000.0,20365.0,6,3038774.0,0.0,2.385830601420178,1.6970362160066155,5
2024,Kreis 3,1-Zimmer,312840.0,10370.5,1,810500.0,0.0,0.38598396051819867,1.1038495373333337,22
