Jahr,Quartier,Zimmeranzahl,MedianPreis,PreisProQm,Zimmeranzahl_num
2009,Ganze Stadt,1-Zimmer,265000.0,8552.0,1
2009,Ganze Stadt,2-Zimmer,505000.0,7800.0,2
2009,Ganze Stadt,3-Zimmer,698550.0,7389.0,3
2009,Ganze Stadt,4-Zimmer,855750.0,7577.0,4
2009,Ganze Stadt,5-Zimmer,1312500.0,9117.0,5
2009,Ganze Stadt,6-Zimmer und mehr,1470810.0,8015.0,6
2009,Kreis 1,1-Zimmer,627500.0,50563.0,1
2009,Kreis 1,2-Zimmer,794000.0,13221.0,2
2009,Kreis 1,3-Zimmer,1470000.0,15313.0,3
2009,Kreis 1,4-Zimmer,1450000.0,13303.0,4
2009,Kreis 1,5-Zimmer,684930.0,4600.0,5
2009,Kreis 1,6-Zimmer und mehr,1675000.0,8957.0,6
2009,Rathaus,1-Zimmer,930000.0,93000.0,1
2009,Rathaus,2-Zimmer,899000.0,13221.0,2
2009,Rathaus,3-Zimmer,1470000.0,15313.0,3
2009,Rathaus,4-Zimmer,1650000.0,13993.0,4
2009,Rathaus,5-Zimmer,1660000.0,10722.0,5
2009,Rathaus,6-Zimmer und mehr,1675000.0,8957.0,6
2009,Hochschulen,1-Zimmer,0.0,0.0,1
2009,Hochschulen,2-Zimmer,1200000.0,19672.0,2
2009,Hochschulen,3-Zimmer,0.0,0.0,3
2009,Hochschulen,4-Zimmer,0.0,0.0,4
2009,Hochschulen,5-Zimmer,1200000.0,8889.0,5
2009,Hochschulen,6-Zimmer und mehr,0.0,0.0,6
2009,Lindenhof,1-Zimmer,325000.0,8125.0,1
2009,Lindenhof,2-Zimmer,515000.0,9573.0,2
2009,Lindenhof,3-Zimmer,1800000.0,20000.0,3
2009,Lindenhof,4-Zimmer,1940350.0,19554.0,4
2009,Lindenhof,5-Zimmer,1900000.0,14504.0,5
2009,Lindenhof,6-Zimmer und mehr,0.0,0.0,6
2009,City,1-Zimmer,0.0,0.0,1
2009,City,2-Zimmer,0.0,0.0,2
2009,City,3-Zimmer,1500000.0,11450.0,3
2009,City,4-Zimmer,695070.0,4600.0,4
2009,City,5-Zimmer,393710.0,2642.0,5
2009,City,6-Zimmer und mehr,0.0,0.0,6
2009,Kreis 2,1-Zimmer,355000.0,12241.0,1
2009,Kreis 2,2-Zimmer,947500.0,12315.0,2
2009,Kreis 2,3-Zimmer,1180000.0,11124.0,3
2009,Kreis 2,4-Zimmer,1190000.0,10145.0,4
2009,Kreis 2,5-Zimmer,1545000.0,9932.0,5
2009,Kreis 2,6-Zimmer und mehr,2180000.0,13711.0,6
2009,Wollishofen,1-Zimmer,810000.0,12434.0,1
2009,Wollishofen,2-Zimmer,915000.0,12590.0,2
2009,Wollishofen,3-Zimmer,1140000.0,11176.0,3
2009,Wollishofen,4-Zimmer,1445000.0,10471.0,4
2009,Wollishofen,5-Zimmer,1850000.0,10882.0,5
2009,Wollishofen,6-Zimmer und mehr,3260000.0,15293.0,6
2009,Leimbach,1-Zimmer,0.0,0.0,1
2009,Leimbach,2-Zimmer,635590.0,9057.0,2
2009,Leimbach,3-Zimmer,725300.0,8571.0,3
2009,Leimbach,4-Zimmer,930000.0,6504.0,4
2009,Leimbach,5-Zimmer,1485000.0,10771.0,5
2009,Leimbach,6-Zimmer und mehr,1210000.0,7129.5,6
2009,Enge,1-Zimmer,355000.0,12241.0,1
2009,Enge,2-Zimmer,1160000.0,6339.0,2
2009,Enge,3-Zimmer,1780000.0,10230.0,3
2009,Enge,4-Zimmer,1185000.0,9875.0,4
2009,Enge,5-Zimmer,1362500.0,9832.0,5
2009,Enge,6-Zimmer und mehr,2180000.0,13711.0,6
