Quartier,Zielort,Transportmittel,Reisezeit_Minuten
Ganze Stadt,Hauptbahnhof,transit,0.8
Ganze Stadt,Hauptbahnhof,driving,0.3
Ganze Stadt,ETH,transit,9.2
Ganze Stadt,ETH,driving,5.3
Ganze Stadt,Flughafen,transit,17.6
Ganze Stadt,Flughafen,driving,9.9
Ganze Stadt,Bahnhofstrasse,transit,6.5
Ganze Stadt,Bahnhofstrasse,driving,6.2
Kreis 1,Hauptbahnhof,transit,7.4
Kreis 1,Hauptbahnhof,driving,5.1
Kreis 1,ETH,transit,11.8
Kreis 1,ETH,driving,10.3
Kreis 1,Flughafen,transit,23.3
Kreis 1,Flughafen,driving,14.3
Kreis 1,Bahnhofstrasse,transit,4.9
Kreis 1,Bahnhofstrasse,driving,3.3
Rathaus,Hauptbahnhof,transit,4.6
Rathaus,Hauptbahnhof,driving,3.1
Rathaus,ETH,transit,8.1
Rathaus,ETH,driving,6.6
Rathaus,Flughafen,transit,37.2
Rathaus,Flughafen,driving,12.3
Rathaus,Bahnhofstrasse,transit,5.7
Rathaus,Bahnhofstrasse,driving,5.9
Hochschulen,Hauptbahnhof,transit,7.8
Hochschulen,Hauptbahnhof,driving,3.4
Hochschulen,ETH,transit,5.6
Hochschulen,ETH,driving,4.4
Hochschulen,Flughafen,transit,35.1
Hochschulen,Flughafen,driving,12.2
Hochschulen,Bahnhofstrasse,transit,15.6
Hochschulen,Bahnhofstrasse,driving,7.2
Lindenhof,Hauptbahnhof,transit,7.6
Lindenhof,Hauptbahnhof,driving,4.5
Lindenhof,ETH,transit,11.9
Lindenhof,ETH,driving,8.0
Lindenhof,Flughafen,transit,23.5
Lindenhof,Flughafen,driving,13.7
Lindenhof,Bahnhofstrasse,transit,3.8
Lindenhof,Bahnhofstrasse,driving,3.3
City,Hauptbahnhof,transit,3.1
City,Hauptbahnhof,driving,3.4
City,ETH,transit,8.2
City,ETH,driving,9.9
City,Flughafen,transit,18.1
City,Flughafen,driving,13.9
City,Bahnhofstrasse,transit,6.6
City,Bahnhofstrasse,driving,3.3
